t,influ_perc,rhino_perc
1652.0,0.0,0.107
1659.0,0.0,0.111
1666.0,0.0,0.111
1673.0,0.0,0.084
1680.0,0.002,0.07200000000000001
1687.0,0.0,0.063
1694.0,0.0,0.07400000000000001
1701.0,0.0,0.057999999999999996
1708.0,0.0,0.07
1715.0,0.0,0.136
1722.0,0.0,0.139
1729.0,0.00268634064,0.19399999999999998
1736.0,0.00479965458,0.205
1743.0,0.00886760778,0.16
1750.0,0.009781558729999999,0.14
1757.0,0.00695871462,0.126
1764.0,0.00658774834,0.105
1771.0,0.003237643,0.09699999999999999
1778.0,0.00770755079,0.11
1785.0,0.006014435499999999,0.099
1792.0,0.00697058395,0.11599999999999999
1799.0,0.00910771681,0.115
1806.0,0.01068483257,0.114
1813.0,0.01102073255,0.12300000000000001
1820.0,0.008339889849999999,0.107
1827.0,0.00561245966,0.121
1834.0,0.0054018661,0.08900000000000001
1841.0,0.00484047267,0.094
1848.0,0.00323939099,0.11199999999999999
1855.0,0.00528624674,0.124
1862.0,0.00404228856,0.125
1869.0,0.00510710739,0.134
1876.0,0.00985776651,0.12
1883.0,0.01253241141,0.11800000000000001
1890.0,0.015230700310000001,0.126
1897.0,0.021497803810000004,0.107
1904.0,0.02869591346,0.11699999999999999
1911.0,0.041325934579999994,0.107
1918.0,0.04189044039,0.095
1925.0,0.05543870192,0.08
1932.0,0.04000557222,0.063
1939.0,0.026599217350000003,0.079
1946.0,0.027000000000000003,0.069
1953.0,0.022000000000000002,0.09300000000000001
1960.0,0.016,0.124
